"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1970","1970",9.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1971","1971",10.4,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1972","1972",11.4,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1973","1973",13.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1974","1974",15.4,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1975","1975",17.6,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1976","1976",19.6,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1977","1977",21.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1978","1978",23,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1979","1979",25.3,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1980","1980",27.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1981","1981",31,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1982","1982",34.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1983","1983",36.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1984","1984",38.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1985","1985",41,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1986","1986",43.9,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1987","1987",47.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1988","1988",51.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1989","1989",54.7,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1990","1990",56.3,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1991","1991",57.1,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1992","1992",57.6,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1993","1993",58.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1994","1994",59.6,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1995","1995",61.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1996","1996",61.9,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1997","1997",62.7,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1998","1998",62.9,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","1999","1999",64.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2000","2000",67.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2001","2001",69.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2002","2002",71.6,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2003","2003",74,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2004","2004",76.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2005","2005",80.7,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2006","2006",84.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2007","2007",88.6,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2008","2008",93,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2009","2009",94.1,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2010","2010",100,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2011","2011",101.9,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2012","2012",101.7,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2013","2013",103.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2014","2014",102.4,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2015","2015",102,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2016","2016",105.7,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUS","Australia","2017","2017",109.3,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUT","Austria","1970","1970",26.3,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2010=100)","AUT","Austria","1971","1971",28,,
