LGA,2020,2021,2022,2023,Total
Alpine (S),1,31,4554,247,4833
Ararat (RC),7,71,4217,275,4570
Ballarat (C),63,527,51690,3610,55890
Banyule (C),453,2486,55999,3522,62460
Bass Coast (S),11,364,14209,857,15441
Baw Baw (S),19,1176,21320,1198,23713
Bayside (C),273,2274,42075,2098,46720
Benalla (RC),4,78,4920,296,5298
Boroondara (C),264,2793,70120,3535,76712
Brimbank (C),1979,8791,69960,3014,83744
Buloke (S),,10,1628,148,1786
Campaspe (S),10,387,13182,757,14336
Cardinia (S),215,2773,47921,2575,53484
Casey (C),1054,11192,147386,7139,166771
Central Goldfields (S),2,52,4233,255,4542
Colac-Otway (S),142,167,7086,399,7794
Corangamite (S),4,41,4803,279,5127
Darebin (C),644,4343,68326,3937,77250
East Gippsland (S),13,378,14538,1027,15956
Frankston (C),245,2827,58576,3286,64934
Gannawarra (S),3,25,2920,232,3180
Glen Eira (C),232,4046,65295,3294,72867
Glenelg (S),18,30,6391,456,6895
Golden Plains (S),18,117,9739,555,10429
Greater Bendigo (C),103,1036,52437,3477,57053
Greater Dandenong (C),547,6778,55358,2618,65301
Greater Geelong (C),380,3042,117361,6915,127698
Greater Shepparton (C),52,1697,25714,1556,29019
Hepburn (S),5,90,5424,353,5872
Hindmarsh (S),2,89,1748,183,2022
Hobsons Bay (C),513,2898,37337,2005,42753
Horsham (RC),14,42,7964,629,8649
Hume (C),1643,16528,87377,3512,109060
Indigo (S),1,81,6013,438,6533
Interstate,109,488,5686,351,6634
Kingston (C),304,3462,67137,3656,74559
Knox (C),161,2267,68567,3562,74557
Latrobe (C),60,1502,30007,1683,33252
Loddon (S),3,24,2066,167,2260
Macedon Ranges (S),59,575,19485,1256,21375
Manningham (C),165,2244,49962,2588,54959
Mansfield (S),10,54,3434,168,3666
Maribyrnong (C),571,2771,39406,2176,44924
Maroondah (C),113,1496,50567,2930,55106
Melbourne (C),947,4949,72739,3229,81864
Melton (C),1181,8311,75445,3455,88392
Merri-bek (C),1016,7101,77866,4128,90111
Mildura (RC),7,809,21727,1417,23960
Mitchell (S),92,919,19746,1086,21843
Moira (S),11,262,10118,595,10986
Monash (C),359,3365,79018,4483,87225
Moonee Valley (C),783,3888,52493,2593,59757
Moorabool (S),43,642,14550,755,15990
Mornington Peninsula (S),192,2880,65552,3832,72456
Mount Alexander (S),8,219,7361,570,8158
Moyne (S),1,48,5845,393,6287
Murrindindi (S),7,138,4494,248,4887
Nillumbik (S),146,1009,27462,1567,30184
Northern Grampians (S),4,111,4176,222,4513
Overseas,28,580,327,108,1043
Port Phillip (C),301,3836,44836,2080,51053
Pyrenees (S),3,43,2429,238,2713
Queenscliffe (B),1,37,1276,95,1409
South Gippsland (S),12,222,10192,584,11010
Southern Grampians (S),3,39,5823,335,6200
Stonnington (C),255,3015,43785,2138,49193
Strathbogie (S),2,70,3243,261,3576
Surf Coast (S),14,421,15582,834,16851
Swan Hill (RC),6,221,7025,335,7587
Towong (S),,11,1763,108,1882
Unincorporated Vic,1,4,451,16,472
Unknown,58,392,7028,2108,9586
Wangaratta (RC),6,197,11076,718,11997
Warrnambool (C),15,118,14705,1007,15845
Wellington (S),17,287,16026,890,17220
West Wimmera (S),1,10,1031,68,1110
Whitehorse (C),209,1771,71254,4119,77353
Whittlesea (C),1195,9427,93306,4407,108335
Wodonga (C),5,611,17717,957,19290
Wyndham (C),2239,10405,115171,4727,132542
Yarra (C),456,2861,42871,2043,48231
Yarra Ranges (S),254,1969,63995,3282,69500
Yarriambiack (S),1,2,2030,165,2198

